age (Myr),qEEP,mass,Teff,logL,logg,radius
4,12,0.09,2976,-1.53,3.77,0.647
4,13,0.1,3013,-1.55,3.86,0.614
4,14,0.11,3035,-1.51,3.87,0.639
4,15,0.13,3075,-1.42,3.88,0.688
4,16,0.15,3113,-1.35,3.89,0.729
4,17,0.17,3145,-1.27,3.88,0.782
4,18,0.2,3206,-1.19,3.91,0.822
4,19,0.3,3389,-0.95,3.94,0.969
4,20,0.4,3560,-0.78,3.97,1.078
4,21,0.5,3704,-0.63,4,1.173
4,22,0.6,3842,-0.51,4.02,1.258
4,23,0.7,3976,-0.4,4.03,1.334
4,24,0.8,4096,-0.3,4.05,1.4
4,25,0.9,4212,-0.22,4.06,1.465
4,26,1,4315,-0.14,4.07,1.527
4,27,1.1,4417,-0.06,4.07,1.601
4,28,1.2,4513,0.02,4.07,1.669
4,29,1.3,4609,0.09,4.07,1.74
4,30,1.4,4710,0.16,4.07,1.815
5,1,0.01,1961,-3.39,3.95,0.176
5,2,0.015,2330,-2.96,3.99,0.204
5,3,0.02,2531,-2.62,3.93,0.254
5,4,0.03,2705,-2.2,3.8,0.362
5,5,0.04,2785,-1.98,3.75,0.44
5,6,0.05,2841,-1.85,3.76,0.489
5,7,0.06,2890,-1.81,3.82,0.496
5,8,0.07,2928,-1.76,3.87,0.511
5,9,0.072,2934,-1.75,3.87,0.518
5,10,0.075,2944,-1.73,3.87,0.525
5,11,0.08,2959,-1.69,3.87,0.541
5,12,0.09,2992,-1.64,3.89,0.566
5,13,0.1,3027,-1.63,3.95,0.554
5,14,0.11,3052,-1.58,3.95,0.58
5,15,0.13,3098,-1.49,3.96,0.627
5,16,0.15,3136,-1.41,3.96,0.669
5,17,0.17,3169,-1.34,3.96,0.713
5,18,0.2,3220,-1.26,3.98,0.758
5,19,0.3,3379,-1.02,4.01,0.899
5,20,0.4,3546,-0.84,4.03,1.006
5,21,0.5,3696,-0.7,4.06,1.095
5,22,0.6,3830,-0.57,4.08,1.173
5,23,0.7,3960,-0.47,4.09,1.243
5,24,0.8,4081,-0.37,4.11,1.306
5,25,0.9,4198,-0.28,4.12,1.366
5,26,1,4310,-0.2,4.13,1.429
5,27,1.1,4422,-0.12,4.13,1.494
5,28,1.2,4531,-0.03,4.13,1.569
5,29,1.3,4644,0.05,4.12,1.643
5,30,1.4,4771,0.14,4.11,1.719
8,1,0.01,1714,-3.7,4.02,0.161
8,2,0.015,2280,-3.05,4.05,0.192
8,3,0.02,2525,-2.65,3.95,0.248
8,4,0.03,2699,-2.29,3.88,0.329
8,5,0.04,2784,-2.22,4,0.333
8,6,0.05,2849,-2.13,4.04,0.353
8,7,0.06,2903,-2.05,4.07,0.375
8,8,0.07,2948,-1.97,4.09,0.396
8,9,0.072,2956,-1.96,4.09,0.401
8,10,0.075,2968,-1.93,4.09,0.411
8,11,0.08,2986,-1.89,4.09,0.424
8,12,0.09,3017,-1.83,4.09,0.445
8,13,0.1,3045,-1.8,4.13,0.453
8,14,0.11,3069,-1.74,4.12,0.477
8,15,0.13,3115,-1.64,4.12,0.517
8,16,0.15,3155,-1.56,4.13,0.554
8,17,0.17,3192,-1.48,4.12,0.593
8,18,0.2,3234,-1.4,4.13,0.637
8,19,0.3,3364,-1.17,4.15,0.765
8,20,0.4,3518,-0.99,4.17,0.864
8,21,0.5,3669,-0.84,4.19,0.944
8,22,0.6,3798,-0.72,4.21,1.01
8,23,0.7,3923,-0.61,4.22,1.071
8,24,0.8,4049,-0.51,4.23,1.133
8,25,0.9,4184,-0.41,4.24,1.192
8,26,1,4327,-0.3,4.24,1.256
8,27,1.1,4481,-0.2,4.24,1.321
8,28,1.2,4647,-0.09,4.23,1.398
8,29,1.3,4837,0.04,4.21,1.489
8,30,1.4,5064,0.18,4.17,1.602
10,1,0.01,1570,-3.87,4.05,0.156
10,2,0.015,2261,-3.08,4.06,0.189
10,3,0.02,2519,-2.67,3.96,0.244
10,4,0.03,2682,-2.43,4.01,0.283
10,5,0.04,2768,-2.35,4.11,0.292
10,6,0.05,2843,-2.23,4.14,0.315
10,7,0.06,2900,-2.15,4.16,0.335
10,8,0.07,2946,-2.06,4.18,0.358
10,9,0.072,2954,-2.04,4.18,0.363
10,10,0.075,2967,-2.02,4.18,0.369
10,11,0.08,2987,-1.98,4.17,0.383
10,12,0.09,3021,-1.91,4.18,0.405
10,13,0.1,3050,-1.87,4.2,0.416
10,14,0.11,3075,-1.82,4.2,0.435
10,15,0.13,3118,-1.72,4.2,0.475
10,16,0.15,3159,-1.64,4.2,0.509
10,17,0.17,3197,-1.56,4.2,0.544
10,18,0.2,3240,-1.47,4.2,0.587
10,19,0.3,3363,-1.23,4.21,0.713
10,20,0.4,3508,-1.05,4.23,0.805
10,21,0.5,3651,-0.91,4.25,0.88
10,22,0.6,3781,-0.79,4.27,0.942
10,23,0.7,3908,-0.67,4.28,1.005
10,24,0.8,4041,-0.57,4.29,1.064
10,25,0.9,4191,-0.46,4.29,1.121
10,26,1,4363,-0.34,4.29,1.189
10,27,1.1,4553,-0.21,4.28,1.259
10,28,1.2,4768,-0.07,4.26,1.347
10,29,1.3,5038,0.09,4.22,1.459
10,30,1.4,5363,0.29,4.16,1.624
15,1,0.015,2237,-3.11,4.08,0.185
15,2,0.02,2495,-2.74,4.02,0.229
15,3,0.03,2614,-2.69,4.22,0.222
15,4,0.04,2721,-2.55,4.28,0.24
15,5,0.05,2827,-2.41,4.3,0.261
15,6,0.06,2892,-2.3,4.32,0.282
15,7,0.07,2943,-2.21,4.32,0.302
15,8,0.072,2952,-2.19,4.32,0.307
15,9,0.075,2965,-2.17,4.32,0.312
15,10,0.08,2986,-2.13,4.32,0.324
15,11,0.09,3023,-2.06,4.32,0.342
15,12,0.1,3056,-2.01,4.34,0.355
15,13,0.11,3086,-1.95,4.34,0.373
15,14,0.13,3131,-1.84,4.33,0.407
