log10_isochrone_age_yr,EEP,eep,age,feh,mass,initial_mass,radius,density,logTeff,Teff,logg,logL,Mbol,delta_nu,nu_max,phase,dm_deep
5.0,10,10,5.0,0.042674020512106337,0.09999998925294584,0.1,1.4473272140827205,0.04649979729093386,3.4685454547110384,2941.3415282660885,3.1170127144450763,-0.8500390290796549,6.8650975726991375,24.831145549333066,207.40681675980903,-1.0,
5.0,11,11,5.0,0.042674020540530044,0.1022980531451026,0.1022980643703344,1.4681569172739624,0.045572329908620327,3.46959319440004,2948.4461099871437,3.1126945995510167,-0.8334365754619917,6.823591438654979,24.60452735123497,205.820396351152,-1.0,
5.0,12,12,5.0,0.042674020601296325,0.1066029872111084,0.10660299936732298,1.5077688686510828,0.043844623934689075,3.4715452379403504,2961.7284554234448,3.1047312333053654,-0.8025038084779856,6.746259521194965,24.176031266451375,202.81555186114346,-1.0,
5.0,13,13,5.0,0.04267402066480175,0.11089306877995772,0.11089308191588228,1.5479980268945586,0.04214484730029982,3.4734762015388028,2974.926234459997,3.0969688906580526,-0.7719086926332954,6.669771731583239,23.741718329570823,199.7492507812976,-1.0,
5.0,14,14,5.0,0.042674020732005546,0.11518023997186926,0.11518025413946635,1.5888809502461945,0.040481369423742995,3.4753914608290497,2988.074771963467,3.0894256490651735,-0.7416057447806037,6.594014361951509,23.301862160108534,196.6302252231718,-1.0,
5.0,15,15,5.0,0.04267402080155369,0.1194670089669308,0.11946702422022908,1.6305450217651425,0.03885088329363984,3.4772906482583723,3001.170357341277,3.082040028461864,-0.7115261216868028,6.518815304217007,22.853020556438715,193.42150259154926,-1.0,
5.0,16,16,5.0,0.04267402087049521,0.12374467664978935,0.12374469304255052,1.6728028298252533,0.037268640671701665,3.4791698348671134,3014.184518427334,3.0748813088080635,-0.6817854559120619,6.444463639780155,22.39737493090009,190.1431566939287,-1.0,
5.0,17,17,5.0,0.04267402093605854,0.12801378959564394,0.1280138071829082,1.7157279193298078,0.03573244960931449,3.481028079965089,3027.1091440837777,3.0679090525018005,-0.6523451476677462,6.370862869169366,21.932294131466428,186.7659937092008,-1.0,
5.0,18,18,5.0,0.042674020995448814,0.1322840513774452,0.13228407021749233,1.7593708010737032,0.034244169509875605,3.482869364158036,3039.9704645847364,3.061130246957089,-0.6231620876470447,6.297905219117612,21.45721171425644,183.28835228960563,-1.0,
5.0,19,19,5.0,0.04267402104071971,0.13655033590649535,0.1365503560579116,1.8037225633000535,0.03280460778871617,3.4846902051670754,3052.7427265476986,3.054530641655538,-0.5942540076319933,6.225635019079983,20.970570657989878,179.68985347776834,-1.0,
5.0,20,20,5.0,0.04267402106234419,0.14080890401748522,0.14080892553922966,1.8487399746572544,0.031416218833716564,3.4864884305935613,3065.409017243355,3.0481163888460863,-0.5656489181494854,6.154122295373714,20.472062047968727,175.96487773574214,-1.0,
